case_id,sample_type,label,target_file,reference_file,target_source,reference_source,domain,target_chars,reference_chars,target_sentences,reference_sentences,notes
C001,direct_copy,1,samples/targets/C001_target.txt,samples/references/C001_ref.txt,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,1072,1072,13,13,目标文本与参考文本使用同一来源片段，模拟直接复制。
C002,direct_copy,1,samples/targets/C002_target.txt,samples/references/C002_ref.txt,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,computer_vision,1013,1013,15,15,目标文本与参考文本使用同一来源片段，模拟直接复制。
C003,direct_copy,1,samples/targets/C003_target.txt,samples/references/C003_ref.txt,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,C县农产品物流园区选址及功能区布局规划研究_张明慧.pdf,agri_logistics,1182,1182,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C004,direct_copy,1,samples/targets/C004_target.txt,samples/references/C004_ref.txt,个人数字遗产继承的法律保护研究_李苗苗.pdf,个人数字遗产继承的法律保护研究_李苗苗.pdf,law,1111,1111,20,20,目标文本与参考文本使用同一来源片段，模拟直接复制。
C005,direct_copy,1,samples/targets/C005_target.txt,samples/references/C005_ref.txt,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,1028,1028,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C006,direct_copy,1,samples/targets/C006_target.txt,samples/references/C006_ref.txt,ESG表现对企业避税的影响研究_常林.pdf,ESG表现对企业避税的影响研究_常林.pdf,finance_management,1228,1228,9,9,目标文本与参考文本使用同一来源片段，模拟直接复制。
C007,direct_copy,1,samples/targets/C007_target.txt,samples/references/C007_ref.txt,基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,medical_material,934,934,14,14,目标文本与参考文本使用同一来源片段，模拟直接复制。
C008,direct_copy,1,samples/targets/C008_target.txt,samples/references/C008_ref.txt,基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,medical_material,1023,1023,17,17,目标文本与参考文本使用同一来源片段，模拟直接复制。
C009,light_rewrite,1,samples/targets/C009_target.txt,samples/references/C009_ref.txt,深度学习框架下系统查重的研究与应用_雷子旺.pdf (rewritten),深度学习框架下系统查重的研究与应用_雷子旺.pdf,text_similarity,1070,1056,18,18,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C010,light_rewrite,1,samples/targets/C010_target.txt,samples/references/C010_ref.txt,基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf (rewritten),基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf,text_similarity,1015,992,16,16,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C011,light_rewrite,1,samples/targets/C011_target.txt,samples/references/C011_ref.txt,基于卷积神经网络的人脸表情识别与应用_王以诺.pdf (rewritten),基于卷积神经网络的人脸表情识别与应用_王以诺.pdf,computer_vision,992,984,8,8,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C012,light_rewrite,1,samples/targets/C012_target.txt,samples/references/C012_ref.txt,京津冀农产品物流需求预测与物流网络构建研究_薛晓博.pdf (rewritten),京津冀农产品物流需求预测与物流网络构建研究_薛晓博.pdf,agri_logistics,917,909,10,10,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C013,light_rewrite,1,samples/targets/C013_target.txt,samples/references/C013_ref.txt,数字遗产继承问题研究_李欣.pdf (rewritten),数字遗产继承问题研究_李欣.pdf,law,1238,1221,21,21,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C014,light_rewrite,1,samples/targets/C014_target.txt,samples/references/C014_ref.txt,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf (rewritten),小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,education,968,953,12,12,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C015,light_rewrite,1,samples/targets/C015_target.txt,samples/references/C015_ref.txt,XH公司绿色债券发行动因与效应研究_吕嘉玮.pdf (rewritten),XH公司绿色债券发行动因与效应研究_吕嘉玮.pdf,finance_management,985,970,15,15,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C016,light_rewrite,1,samples/targets/C016_target.txt,samples/references/C016_ref.txt,改性氧化锌催化剂制备及催化降解有机污染物的研究_何书桓.pdf (rewritten),改性氧化锌催化剂制备及催化降解有机污染物的研究_何书桓.pdf,medical_material,1243,1225,18,18,目标文本由参考片段进行轻度换词、局部调序和连接词改写，模拟轻度改写。
C017,same_topic_non_plagiarism,0,samples/targets/C017_target.txt,samples/references/C017_ref.txt,深度学习框架下系统查重的研究与应用_雷子旺.pdf,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,text_similarity,1032,923,20,10,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C018,same_topic_non_plagiarism,0,samples/targets/C018_target.txt,samples/references/C018_ref.txt,基于TF-IDF和机器学习的文本向量化与分类研究_石慧.pdf,深度学习框架下系统查重的研究与应用_雷子旺.pdf,text_similarity,966,958,15,15,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C019,same_topic_non_plagiarism,0,samples/targets/C019_target.txt,samples/references/C019_ref.txt,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,基于卷积神经网络的人脸表情识别与应用_王以诺.pdf,computer_vision,1128,996,9,8,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C020,same_topic_non_plagiarism,0,samples/targets/C020_target.txt,samples/references/C020_ref.txt,FCH公司生鲜农产品配送路径优化研究_徐小雨.pdf,双碳目标下生鲜农产品冷链配送路径优化研究_牛忍.pdf,agri_logistics,1037,1049,18,15,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C021,same_topic_non_plagiarism,0,samples/targets/C021_target.txt,samples/references/C021_ref.txt,平台处罚的行政法规制_吴树贞.pdf,影评类短视频侵权纠纷中合理使用认定研究_连宇馨.pdf,law,929,1042,16,20,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C022,same_topic_non_plagiarism,0,samples/targets/C022_target.txt,samples/references/C022_ref.txt,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,中国传统文化绘本在小学语文阅读教学中的应用研究_龚婧.pdf,education,962,1009,11,16,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C023,same_topic_non_plagiarism,0,samples/targets/C023_target.txt,samples/references/C023_ref.txt,XH公司绿色债券发行动因与效应研究_吕嘉玮.pdf,ESG表现对企业避税的影响研究_常林.pdf,finance_management,971,1157,12,11,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C024,same_topic_non_plagiarism,0,samples/targets/C024_target.txt,samples/references/C024_ref.txt,基于聚乙烯醇水凝胶的功能化应用研究_耿敬天.pdf,改性氧化锌催化剂制备及催化降解有机污染物的研究_何书桓.pdf,medical_material,962,942,15,11,同一或相近领域的不同文档片段，作为同主题但不应判相似的负样本。
C025,unrelated,0,samples/targets/C025_target.txt,samples/references/C025_ref.txt,多特征融合的短文本语义相似度计算方法研究_张凝.pdf,影评类短视频侵权纠纷中合理使用认定研究_连宇馨.pdf,text_similarity vs law,965,914,14,16,跨领域文档片段，作为完全无关负样本。
C026,unrelated,0,samples/targets/C026_target.txt,samples/references/C026_ref.txt,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,小学中段整本书阅读教学策略研究——以X小学为例_程凡芸.pdf,computer_vision vs education,1194,953,15,12,跨领域文档片段，作为完全无关负样本。
C027,unrelated,0,samples/targets/C027_target.txt,samples/references/C027_ref.txt,农业全产业链发展水平评价研究_徐靖.pdf,基于深度学习的CT图像肺部结节检测与分割研究_杜禹博.pdf,agri_logistics vs medical_material,957,960,14,13,跨领域文档片段，作为完全无关负样本。
C028,unrelated,0,samples/targets/C028_target.txt,samples/references/C028_ref.txt,ESG表现对企业避税的影响研究_常林.pdf,改性氧化锌催化剂制备及催化降解有机污染物的研究_何书桓.pdf,finance_management vs medical_material,938,960,9,16,跨领域文档片段，作为完全无关负样本。
C029,unrelated,0,samples/targets/C029_target.txt,samples/references/C029_ref.txt,“新事实-新规范”路径下虚拟财产的解释_陈亦洲.pdf,基于Transformer的多尺度特征融合的小目标检测研究_王德玉.pdf,law vs computer_vision,998,962,19,20,跨领域文档片段，作为完全无关负样本。
C030,unrelated,0,samples/targets/C030_target.txt,samples/references/C030_ref.txt,中国传统文化绘本在小学语文阅读教学中的应用研究_龚婧.pdf,政府规制下生鲜农产品供应链的区块链溯源决策研究_蒋凤娇.pdf,education vs agri_logistics,990,1101,16,12,跨领域文档片段，作为完全无关负样本。
